price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_color,product_variation_size_id,product_variation_inventory,shipping_option_price,shipping_is_express,countries_shipped_to,has_urgency_banner,origin_country,merchant_rating_count,merchant_rating,merchant_has_profile_picture
16.0,14,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,0,0,0,0,white,M,50,4,0,34,1.0,CN,568,4.128521126760563,0
8.0,22,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,0,0,0,0,green,XS,50,2,0,41,1.0,CN,17752,3.8996732762505633,0
8.0,43,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,0,0,0,0,leopardprint,XS,1,3,0,36,1.0,CN,295,3.9898305084745758,0
8.0,8,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,0,0,0,0,black,M,50,2,0,41,0.0,CN,23832,4.020434709634105,0
2.72,3,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,yellow,S,1,1,0,35,1.0,CN,14482,4.001588178428394,0
3.92,9,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,navyblue,XS,1,1,0,40,0.0,CN,65,3.507692307692308,0
7.0,6,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,0,0,0,0,white,XS,50,2,0,31,0.0,CN,10194,4.076515597410241,1
12.0,11,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,0,0,0,0,blue,M,50,3,0,139,0.0,CN,342,3.681286549707602,0
11.0,84,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,0,0,0,0,black,M,50,2,0,36,1.0,CN,330,3.803030303030303,0
5.78,22,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,0,0,0,0,beige,S,50,2,0,33,0.0,CN,5534,3.999819298879653,0
5.79,5,1000,0,3.46,613,245.0,101.0,81.0,61.0,125.0,0,0,0,0,grey,XXS,2,2,0,25,1.0,CN,9470,3.9568109820485744,0
6.0,8,100,1,3.31,13,3.0,4.0,3.0,0.0,3.0,0,0,0,0,lightblue,XS,2,2,0,40,1.0,CN,3515,3.983783783783784,0
1.91,6,1000,1,3.45,141,49.0,29.0,24.0,14.0,25.0,0,0,0,0,orange,XS,1,1,0,38,0.0,CN,557,4.123877917414721,0
5.79,42,1000,0,3.32,121,36.0,24.0,23.0,19.0,19.0,0,0,0,0,red,S,50,2,0,43,0.0,CN,5083,3.9474719653747785,0
2.0,2,20000,1,3.65,2457,984.0,481.0,459.0,206.0,327.0,0,0,0,0,yellow,S,1,1,0,36,0.0,CN,55499,4.138885385322259,0
11.0,81,1000,0,3.92,426,204.0,94.0,62.0,21.0,45.0,0,0,0,0,Black,S,50,3,0,41,0.0,CN,39381,4.0663264010563465,0
11.0,10,10000,0,3.72,2058,840.0,435.0,386.0,158.0,239.0,0,0,0,0,red,L,50,2,0,34,0.0,CN,6302,3.9584258965407813,0
5.0,25,100000,1,3.83,17980,8290.0,3483.0,2951.0,1410.0,1846.0,0,0,0,0,white,S,50,1,0,41,1.0,CN,139223,3.933581376640354,0
9.0,9,20000,0,3.82,5479,2456.0,1162.0,853.0,431.0,577.0,0,0,0,0,blue,S,50,3,0,43,0.0,CN,22089,4.081624337905745,0
7.0,7,1000,0,3.67,214,87.0,36.0,49.0,17.0,25.0,0,0,0,0,red,S,7,2,0,41,1.0,CN,3592,4.062360801781737,0
11.0,10,5000,0,3.84,1183,506.0,274.0,216.0,81.0,106.0,0,0,0,0,green,S,50,3,0,69,0.0,CN,23609,4.256597060443052,0
5.0,6,20000,0,3.6,3552,1437.0,632.0,610.0,358.0,515.0,0,0,0,0,black,S,11,2,0,41,0.0,CN,12913,3.981336637497096,1
11.0,26,1000,0,3.38,72,27.0,11.0,11.0,8.0,15.0,0,0,0,0,armygreen,S,2,2,0,51,0.0,CN,4516,4.231842338352524,0
7.0,6,5000,1,3.67,510,213.0,98.0,85.0,45.0,69.0,0,0,0,0,armygreen,M,50,2,0,138,1.0,CN,96838,4.264658501827795,0
5.71,5,1000,0,3.75,678,290.0,145.0,104.0,61.0,78.0,0,0,0,0,black,XXS,19,2,0,43,0.0,CN,80093,4.006692220293909,0
9.0,32,1000,0,4.15,567,323.0,116.0,58.0,28.0,42.0,0,0,0,0,armygreen,M,50,3,0,41,0.0,CN,9395,4.1100585417775415,0
9.0,9,1000,0,4.03,216,105.0,48.0,39.0,12.0,12.0,0,0,0,0,,M,5,3,0,60,0.0,US,4298,4.22940902745463,0
5.65,5,20000,0,4.29,2996,1781.0,628.0,374.0,104.0,109.0,1,0,1,0,white,S,50,2,0,43,1.0,CN,40943,4.017487726839753,0
1.74,2,100,1,4.25,12,7.0,3.0,1.0,0.0,1.0,0,0,0,0,pink,XS,50,1,0,41,0.0,CN,18138,3.831513948616165,0
5.65,6,1000,0,4.06,301,156.0,70.0,34.0,18.0,23.0,0,0,0,0,white,XXL,50,2,0,54,0.0,CN,7034,4.060278646573784,0
14.0,76,100,0,4.06,31,17.0,4.0,6.0,3.0,1.0,0,0,0,0,,S,50,4,0,36,1.0,CN,51369,3.9682688002491777,1
5.65,6,1000,1,4.37,217,137.0,42.0,24.0,9.0,5.0,1,0,1,0,black,XXS,10,2,0,38,0.0,CN,44837,4.065905390637197,0
8.0,7,1000,0,3.81,443,215.0,76.0,65.0,29.0,58.0,0,0,0,0,khaki,S,4,2,0,46,0.0,CN,3460,3.8708092485549135,0
2.66,3,5000,0,3.44,1136,418.0,187.0,201.0,133.0,197.0,0,0,0,0,black,M,50,1,0,22,0.0,CN,223392,4.3063628061882255,0
9.0,8,10000,0,3.8,1231,555.0,240.0,211.0,87.0,138.0,0,0,0,0,yellow,S,50,3,0,45,0.0,CN,10600,3.8675471698113206,0
11.0,10,1000,0,4.16,274,162.0,47.0,34.0,10.0,21.0,1,0,1,0,white,S,50,3,0,31,0.0,CN,13946,4.000143410296859,0
8.0,17,100,1,2.75,8,2.0,0.0,3.0,0.0,3.0,0,0,0,0,blue,S,50,3,0,40,0.0,CN,47981,4.025364206665138,0
14.0,12,5000,1,4.06,643,365.0,109.0,73.0,33.0,63.0,0,0,0,0,navyblue,XXS,2,3,0,43,0.0,CN,80093,4.006692220293909,0
5.8,8,100,1,3.83,6,3.0,1.0,1.0,0.0,1.0,0,0,0,0,armygreen,XS,1,1,0,43,0.0,CN,16741,3.920852995639448,0
13.0,13,1000,0,4.16,138,82.0,27.0,10.0,7.0,12.0,1,0,1,0,pink,S,50,3,0,41,1.0,CN,12913,3.981336637497096,1
9.0,81,50000,0,4.26,5359,3111.0,1172.0,650.0,204.0,222.0,1,0,1,0,black,L,50,3,0,40,0.0,CN,59198,4.105054224804892,0
7.0,68,10,0,1.5,2,0.0,0.0,0.0,1.0,1.0,0,0,0,0,white,S,50,2,0,43,0.0,CN,397,3.8589420654911835,0
12.0,14,100,1,3.79,24,11.0,6.0,2.0,1.0,4.0,0,0,0,0,black,S,50,3,0,22,0.0,CN,196,4.020408163265306,0
3.69,40,100,0,3.53,59,22.0,11.0,12.0,4.0,10.0,0,0,0,0,grey,XS,2,1,0,24,1.0,CN,10917,4.3648438215627,0
5.0,5,10000,1,3.82,3208,1467.0,607.0,558.0,241.0,335.0,1,1,0,0,white,,50,1,0,63,1.0,CN,27055,4.151395305858436,0
5.84,56,100,0,3.28,36,11.0,4.0,11.0,4.0,6.0,0,0,0,0,armygreen,S,50,1,0,43,0.0,CN,40943,4.017487726839753,0
